RBD;Nombre Establecimiento;Región;Comuna;Dependencia;Matrícula Media 2017;Categoría Desempeño 2018
16950;CENTRO EDUCACIONAL SAN PEDRO DE QUELLON;de Los Lagos;QUELLON;P. Subvencionado;93;SIN CATEGORIA: BAJA MATRICULA
16955;ESCUELA BASICA N° 2450;Metropolitana de Santiago;LAMPA;P. Subvencionado;421;MEDIO-BAJO (NUEVO)
16958;COLEGIO  ARTISTICO SOL DEL  ILLIMANI;Metropolitana de Santiago;LA FLORIDA;Municipal;258;INSUFICIENTE
16962;ESCUELA MONTE SINAÍ;de La Araucanía;CARAHUE;P. Subvencionado;29;SIN CATEGORIA: BAJA MATRICULA
16970;EDUCERE COLLEGE;de La Araucanía;PITRUFQUEN;P. Subvencionado;70;SIN CATEGORIA: BAJA MATRICULA
16975;COLEGIO UNIÓN FRATERNA;de Aysén;COYHAIQUE;P. Subvencionado;114;SIN CATEGORIA: BAJA MATRICULA
16978;COLEGIO KOPERNIKUS;de Los Lagos;FRUTILLAR;P. Pagado;108;SIN CATEGORIA: FALTA DE INFORMACIÓN
16980;ESCUELA  BASICA  N° 206, `PULMAHUE`;Metropolitana de Santiago;PAINE;P. Subvencionado;203;INSUFICIENTE
16997;COLEGIO AMERICAN SCHOOL;Metropolitana de Santiago;PENAFLOR;P. Subvencionado;159;MEDIO
17000;COLEGIO ALTA CUMBRE;de Valparaíso;LOS ANDES;P. Subvencionado;62;SIN CATEGORIA: BAJA MATRICULA
17600;COLEGIO SAN GABRIEL ARCANGEL;del Bío-Bío;LOS ANGELES;P. Subvencionado;1440;MEDIO
17605;COLEGIO INGLÉS WOODLAND;del Bío-Bío;LOS ANGELES;P. Subvencionado;671;MEDIO
17606;COLEGIO CONCEPCION SAN PEDRO;del Bío-Bío;SAN PEDRO DE LA PAZ;P. Pagado;735;MEDIO
17607;COLEGIO INGLÉS BRITISH ROYAL SCHOOL;del Bío-Bío;CONCEPCION;P. Subvencionado;374;MEDIO
17634;COLEGIO DE LA SANTISIMA TRINIDAD;del Bío-Bío;SAN PEDRO DE LA PAZ;P. Pagado;208;ALTO
17635;COL. TECNICO PROFESIONAL LOS ACACIOS;del Bío-Bío;CONCEPCION;P. Subvencionado;1022;ALTO
17636;ESCUELA CENTRO ECOEDUCATIVO LAS TRANCAS;de Ñuble;PINTO;Municipal;14;SIN CATEGORIA: BAJA MATRICULA
17638;COLEGIO SANTO TOMAS DE AQUINO;del Bío-Bío;LOS ANGELES;P. Subvencionado;223;MEDIO
17640;ESCUELA BASICA EL PILME;de Ñuble;QUIRIHUE;Municipal;3;SIN CATEGORIA: BAJA MATRICULA
17641;ESCUELA BASICA CANA DULCE;de Ñuble;TREGUACO;Municipal;7;SIN CATEGORIA: BAJA MATRICULA
17648;COLEGIO PARTICULAR KENNEDY SCHOOL;del Bío-Bío;CHIGUAYANTE;P. Subvencionado;484;MEDIO
17652;COLEGIO RAIQUEN;del Bío-Bío;YUMBEL;P. Subvencionado;355;MEDIO
17655;ESCUELA MUNICIPAL CARRIZAL - MENIR;del Bío-Bío;NACIMIENTO;Municipal;2;SIN CATEGORIA: BAJA MATRICULA
17657;INSTITUTO DE HUMANIDADES ANTONIO MORENO CASAMITJANA;del Bío-Bío;CORONEL;P. Subvencionado;710;MEDIO
17660;SCUOLA ITALIANA DI CONCEPCION;del Bío-Bío;CORONEL;P. Subvencionado;235;ALTO
17679;ANEXO COME WEALTH SCHOOL;de Ñuble;CHILLAN;P. Subvencionado;209;MEDIO
17686;COLEGIO ADVENTISTA CONCEPCIÓN;del Bío-Bío;CONCEPCION;P. Subvencionado;346;MEDIO
17687;COLEGIO TERESIANO LOS ANGELES;del Bío-Bío;LOS ANGELES;P. Subvencionado;666;MEDIO
17689;COLEGIO LICANRAY;del Bío-Bío;CHIGUAYANTE;P. Subvencionado;254;MEDIO
17690;COLEGIO BEATO DAMIÁN DE MOLOKAI;del Bío-Bío;LOS ANGELES;P. Subvencionado;360;MEDIO
17692;COLEGIO GOLDEN SCHOOL;del Bío-Bío;CHIGUAYANTE;P. Subvencionado;255;MEDIO
17693;COLEGIO BASICO NUEVA LOS LOBOS;del Bío-Bío;TALCAHUANO;Municipal;416;MEDIO
17698;ESCUELA RAMÓN VINAY SEPÚLVEDA;de Ñuble;CHILLAN;Municipal;352;MEDIO-BAJO
17703;COLEGIO ESPIRITU SANTO;del Bío-Bío;TALCAHUANO;P. Subvencionado;616;MEDIO
17708;COLEGIO SAN CRISTOBAL;del Bío-Bío;TALCAHUANO;P. Subvencionado;233;MEDIO
17709;ESCUELA BALMACEDA SAAVEDRA L.;del Bío-Bío;CHIGUAYANTE;Municipal;136;MEDIO
17710;ESCUELA BASICA EL MIRADOR;del Bío-Bío;TOME;Municipal;4;SIN CATEGORIA: BAJA MATRICULA
17711;ESCUELA BASICA EL ESPINO;del Bío-Bío;TOME;Municipal;6;SIN CATEGORIA: BAJA MATRICULA
