RBD;GRADO;CD2018
3298;Media;ALTO
3300;Media;MEDIO
3302;Media;ALTO
3303;Media;MEDIO
3304;Media;ALTO
3305;Media;MEDIO-BAJO
3308;Media;MEDIO
3311;Media;MEDIO
3313;Media;MEDIO-BAJO
3317;Media;SIN CATEGORIA: BAJA MATRICULA
3327;Media;MEDIO
3328;Media;MEDIO-BAJO
3348;Media;MEDIO-BAJO
3359;Media;MEDIO
3387;Media;MEDIO
3400;Media;MEDIO
3430;Media;MEDIO
3431;Media;MEDIO
3432;Media;MEDIO
3433;Media;ALTO
3434;Media;MEDIO
3442;Media;MEDIO
3443;Media;MEDIO
3460;Media;MEDIO
3461;Media;MEDIO-BAJO
3478;Media;MEDIO
3479;Media;MEDIO
3530;Media;ALTO
3531;Media;ALTO
3533;Media;MEDIO
3538;Media;MEDIO-BAJO
3539;Media;MEDIO
3540;Media;INSUFICIENTE
3608;Media;ALTO
3609;Media;MEDIO
3618;Media;INSUFICIENTE
3638;Media;MEDIO
3639;Media;MEDIO
3640;Media;MEDIO
3641;Media;SIN CATEGORIA: FALTA DE INFORMACION
3642;Media;MEDIO
3643;Media;MEDIO-BAJO
3656;Media;MEDIO-BAJO
3657;Media;MEDIO
3662;Media;MEDIO-BAJO (NUEVO)
3711;Media;ALTO
3713;Media;MEDIO
3718;Media;MEDIO
3719;Media;MEDIO
3720;Media;ALTO
3723;Media;MEDIO
3724;Media;ALTO
3728;Media;ALTO
3730;Media;MEDIO
3733;Media;MEDIO
3734;Media;MEDIO-BAJO
3735;Media;MEDIO
3739;Media;MEDIO
3742;Media;MEDIO
3743;Media;ALTO
3795;Media;ALTO
3796;Media;ALTO
3797;Media;MEDIO
3800;Media;MEDIO
3802;Media;MEDIO
3823;Media;MEDIO
3865;Media;ALTO
3871;Media;MEDIO
3885;Media;MEDIO
3886;Media;MEDIO
3887;Media;MEDIO
3888;Media;MEDIO
3907;Media;MEDIO
3909;Media;MEDIO
3940;Media;MEDIO
3941;Media;MEDIO-BAJO
3960;Media;ALTO
3961;Media;MEDIO-BAJO
3976;Media;MEDIO
3977;Media;MEDIO
3998;Media;MEDIO
4025;Media;MEDIO-BAJO
4032;Media;MEDIO
4043;Media;MEDIO
4049;Media;MEDIO
4084;Media;MEDIO-BAJO
4102;Media;MEDIO
4124;Media;MEDIO
4140;Media;ALTO
4141;Media;ALTO
4160;Media;MEDIO
4162;Media;MEDIO
4163;Media;ALTO
4164;Media;MEDIO
4165;Media;MEDIO-BAJO
4166;Media;MEDIO
4190;Media;MEDIO
4195;Media;MEDIO
4262;Media;MEDIO
4263;Media;ALTO
4269;Media;MEDIO
4270;Media;MEDIO-BAJO
4271;Media;MEDIO-BAJO
4277;Media;MEDIO
4284;Media;SIN CATEGORIA: BAJA MATRICULA
4285;Media;ALTO
4286;Media;ALTO
4287;Media;MEDIO
4288;Media;MEDIO
4289;Media;MEDIO
4307;Media;ALTO
4309;Media;MEDIO
4324;Media;MEDIO
4331;Media;MEDIO-BAJO
4333;Media;MEDIO
4353;Media;MEDIO-BAJO
4382;Media;MEDIO
4392;Media;MEDIO
4404;Media;MEDIO
4408;Media;MEDIO-BAJO
4446;Media;MEDIO-BAJO
4451;Media;MEDIO
4483;Media;MEDIO
4499;Media;SIN CATEGORIA: BAJA MATRICULA
4500;Media;MEDIO-BAJO
4505;Media;MEDIO-BAJO
4507;Media;MEDIO-BAJO
4509;Media;MEDIO
4531;Media;MEDIO
4533;Media;MEDIO-BAJO
4534;Media;MEDIO
4535;Media;MEDIO-BAJO
4536;Media;MEDIO
4553;Media;MEDIO-BAJO
4554;Media;MEDIO-BAJO
4555;Media;SIN CATEGORIA: BAJA MATRICULA
4557;Media;INSUFICIENTE
4559;Media;SIN CATEGORIA: BAJA MATRICULA
4560;Media;INSUFICIENTE
4561;Media;SIN CATEGORIA: BAJA MATRICULA
4562;Media;MEDIO
4563;Media;MEDIO-BAJO
4564;Media;MEDIO-BAJO
4565;Media;MEDIO-BAJO
4571;Media;MEDIO-BAJO
4572;Media;MEDIO-BAJO
4574;Media;MEDIO
4575;Media;MEDIO-BAJO (NUEVO)
4577;Media;MEDIO-BAJO
4585;Media;MEDIO
4588;Media;MEDIO
4589;Media;INSUFICIENTE
4591;Media;SIN CATEGORIA: BAJA MATRICULA
4617;Media;INSUFICIENTE
4630;Media;ALTO
4631;Media;MEDIO
4636;Media;MEDIO
4644;Media;MEDIO
4646;Media;ALTO
4655;Media;MEDIO
4656;Media;ALTO
4659;Media;ALTO
4662;Media;MEDIO
4663;Media;ALTO
4664;Media;MEDIO
4666;Media;ALTO
4667;Media;MEDIO
4669;Media;MEDIO
4672;Media;ALTO
4677;Media;ALTO
4679;Media;MEDIO
4680;Media;MEDIO
4686;Media;MEDIO
4687;Media;ALTO
4688;Media;MEDIO
4689;Media;MEDIO
4691;Media;MEDIO
4694;Media;MEDIO
4698;Media;MEDIO
4700;Media;MEDIO
4702;Media;MEDIO
4703;Media;INSUFICIENTE
4706;Media;INSUFICIENTE
4707;Media;INSUFICIENTE
4708;Media;INSUFICIENTE
4709;Media;INSUFICIENTE
4712;Media;SIN CATEGORIA: BAJA MATRICULA
4715;Media;MEDIO-BAJO
4717;Media;MEDIO-BAJO
4733;Media;MEDIO-BAJO
4762;Media;MEDIO
4778;Media;MEDIO
4779;Media;MEDIO-BAJO (NUEVO)
4782;Media;MEDIO
4785;Media;ALTO
4790;Media;ALTO
4796;Media;ALTO
4798;Media;MEDIO
4805;Media;INSUFICIENTE
4822;Media;ALTO
4824;Media;INSUFICIENTE
4825;Media;MEDIO-BAJO
4829;Media;MEDIO-BAJO
4868;Media;MEDIO
4870;Media;MEDIO
4871;Media;MEDIO
4897;Media;MEDIO-BAJO
4922;Media;MEDIO
4925;Media;MEDIO
4948;Media;INSUFICIENTE
4949;Media;INSUFICIENTE
4951;Media;MEDIO-BAJO
4958;Media;SIN CATEGORIA: BAJA MATRICULA
4969;Media;SIN CATEGORIA: BAJA MATRICULA
4973;Media;MEDIO-BAJO (NUEVO)
4975;Media;MEDIO-BAJO
4977;Media;MEDIO-BAJO
4982;Media;MEDIO-BAJO
4983;Media;MEDIO-BAJO
4984;Media;SIN CATEGORIA: BAJA MATRICULA
5002;Media;MEDIO
5021;Media;MEDIO-BAJO
5024;Media;ALTO
5026;Media;MEDIO
5048;Media;MEDIO
5057;Media;MEDIO
5082;Media;MEDIO
5083;Media;ALTO
5084;Media;MEDIO
5104;Media;MEDIO-BAJO
5105;Media;MEDIO-BAJO
5107;Media;MEDIO
5122;Media;MEDIO
5126;Media;ALTO
5131;Media;SIN CATEGORIA: BAJA MATRICULA
5150;Media;ALTO
5153;Media;MEDIO
5155;Media;MEDIO
5215;Media;MEDIO
5216;Media;MEDIO-BAJO
5218;Media;ALTO
5219;Media;MEDIO
5264;Media;MEDIO
5265;Media;MEDIO-BAJO
5266;Media;ALTO
5267;Media;MEDIO
5270;Media;MEDIO-BAJO
5274;Media;MEDIO-BAJO
5282;Media;MEDIO
5315;Media;MEDIO
5323;Media;MEDIO
5343;Media;MEDIO-BAJO
5344;Media;MEDIO
5374;Media;MEDIO-BAJO
5393;Media;MEDIO
5394;Media;MEDIO
5434;Media;ALTO
5435;Media;MEDIO
5439;Media;MEDIO-BAJO
5440;Media;MEDIO
5465;Media;ALTO
5467;Media;MEDIO-BAJO
5507;Media;MEDIO
5509;Media;ALTO
5565;Media;INSUFICIENTE
5566;Media;MEDIO
5567;Media;MEDIO-BAJO
5568;Media;MEDIO-BAJO
5569;Media;MEDIO
5570;Media;MEDIO
5574;Media;MEDIO-BAJO
5590;Media;MEDIO
5597;Media;SIN CATEGORIA: BAJA MATRICULA
5613;Media;MEDIO-BAJO
5652;Media;MEDIO
5653;Media;MEDIO
5654;Media;MEDIO
5655;Media;ALTO
5656;Media;MEDIO
5658;Media;MEDIO-BAJO
5659;Media;ALTO
5661;Media;MEDIO
5662;Media;MEDIO-BAJO
5663;Media;MEDIO
5666;Media;ALTO
5669;Media;MEDIO-BAJO (NUEVO)
5670;Media;MEDIO
5703;Media;MEDIO
5713;Media;INSUFICIENTE
5720;Media;MEDIO
5729;Media;MEDIO
5806;Media;SIN CATEGORIA: BAJA MATRICULA
5808;Media;ALTO
5810;Media;MEDIO
5812;Media;ALTO
5813;Media;ALTO
5814;Media;MEDIO
5816;Media;MEDIO
5823;Media;MEDIO
5879;Media;MEDIO-BAJO
5897;Media;MEDIO
5921;Media;MEDIO
5923;Media;MEDIO
5957;Media;MEDIO
5959;Media;MEDIO-BAJO
5992;Media;MEDIO-BAJO
6007;Media;MEDIO
6027;Media;MEDIO
6051;Media;MEDIO
6052;Media;ALTO
6070;Media;MEDIO
6084;Media;ALTO
6085;Media;MEDIO
6087;Media;MEDIO
6112;Media;MEDIO
6113;Media;MEDIO-BAJO
6115;Media;MEDIO-BAJO
6118;Media;MEDIO
6119;Media;MEDIO-BAJO
6120;Media;MEDIO
6122;Media;MEDIO
6135;Media;MEDIO
6161;Media;MEDIO
6163;Media;MEDIO
6188;Media;MEDIO
6210;Media;MEDIO-BAJO
6223;Media;MEDIO
6230;Media;MEDIO-BAJO
6252;Media;MEDIO
6253;Media;MEDIO
6267;Media;MEDIO
